File,Block,Trial_Block,Trial_Total,Subj,Order,Perturb_Var,Perturb_Dir,Cursor_Error,Target_Deg,EE_Baseline_mean,EE_Baseline_corrected,Target,Trial_Target,Endpoint_X,Endpoint_Y,Endpoint_Error,Appl_Perturb,Endpoint_Error_Mean,MT,RT,Max_Vel
San_Pilot_S01_1Prebaseline_SubjData,Prebaseline,1,1,1,Gen_first,12° Variance,CCW,8.0872,0,-1.5338,-6.5534,1,1,-0.0084534,0.25949,-8.0872,0,-8.9589,0.55,0.035,0.22494
San_Pilot_S01_1Prebaseline_SubjData,Prebaseline,2,2,1,Gen_first,12° Variance,CCW,3.6821,0,-1.5338,-2.1483,1,2,-0.0038767,0.26024,-3.6821,0,-8.9589,0.185,0.56,0.33939
San_Pilot_S01_1Prebaseline_SubjData,Prebaseline,3,3,1,Gen_first,12° Variance,CCW,10.138,0,-1.5338,-8.6042,1,3,-0.010602,0.25929,-10.138,0,-8.9589,0,0.64,0.32616
San_Pilot_S01_1Prebaseline_SubjData,Prebaseline,4,4,1,Gen_first,12° Variance,CCW,,0,-1.5338,,1,4,,,,0,-8.9589,0.03,0.005,0.0083167
San_Pilot_S01_1Prebaseline_SubjData,Prebaseline,5,5,1,Gen_first,12° Variance,CCW,5.3921,0,-1.5338,-3.8583,1,5,-0.0057352,0.26076,-5.3921,0,-8.9589,0.26,0.005,0.52572
San_Pilot_S01_1Prebaseline_SubjData,Prebaseline,6,6,1,Gen_first,12° Variance,CCW,8.2832,0,-1.5338,-6.7494,1,6,-0.0089946,0.26178,-8.2832,0,-8.9589,0.215,0.03,0.67098
San_Pilot_S01_1Prebaseline_SubjData,Prebaseline,7,7,1,Gen_first,12° Variance,CCW,12.829,0,-1.5338,-11.2952,1,7,-0.013511,0.25933,-12.829,0,-8.9589,0.34,0.005,0.55521
San_Pilot_S01_1Prebaseline_SubjData,Prebaseline,8,8,1,Gen_first,12° Variance,CCW,9.2511,0,-1.5338,-7.7173,1,8,-0.0099467,0.26107,-9.2511,0,-8.9589,0.15,0.475,0.54331
San_Pilot_S01_1Prebaseline_SubjData,Prebaseline,9,9,1,Gen_first,12° Variance,CCW,,0,-1.5338,,1,9,,,,0,-8.9589,0.795,0.005,0.33216
San_Pilot_S01_1Prebaseline_SubjData,Prebaseline,10,10,1,Gen_first,12° Variance,CCW,14.008,0,-1.5338,-12.4742,1,10,-0.014624,0.25862,-14.008,0,-8.9589,0,0.61,0.30203
San_Pilot_S01_1Prebaseline_SubjData,Prebaseline,11,11,1,Gen_first,12° Variance,CCW,8.0665,30,-2.4823,-5.5842,2,1,0.022474,0.25581,-8.0665,0,-8.598,0.03,0.615,0.20599
